BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
718,20210929,59485.81114,412.55,3.83,13.31,0.051,1.428,0.571,100,5.43,31.54,0.171,0.421
719,20210929,59485.8112,412.55,7.39,157.15,1.161,32.5,13,300,6.83,319.87,2.185,16.12
720,20210929,59485.81128,412.55,4.15,10.6,0.044,1.232,0.4926,150,4.65,22.13,0.103,0.3796
721,20210929,59485.81145,412.55,5.49,112.65,0.618,17.3,6.919,500,4.96,112.66,0.559,6.874
722,20210929,59485.81189,412.55,2.93,34.51,0.101,2.827,1.131,200,2.57,61.06,0.157,0.7703
723,20210929,59485.81199,412.55,3.65,11.79,0.043,1.204,0.4814,100,3.19,37.46,0.119,0.2933
724,20210929,59485.812,412.55,4.38,13.48,0.059,1.651,0.6606,100,4.82,28.35,0.137,0.3359
725,20210929,59485.81211,412.55,3.33,13.83,0.046,1.288,0.515,300,3.4,15.53,0.053,0.3896
726,20210929,59485.81212,412.55,3.94,28.2,0.111,3.107,1.243,200,3.62,69.22,0.25,1.232
727,20210929,59485.81236,412.55,11.75,157.39,1.849,51.75,20.7,450,7.78,237.2,1.846,20.42
728,20210929,59485.81242,412.55,3.75,37.33,0.14,3.919,1.567,400,3.26,42.44,0.138,1.361
729,20210929,59485.81242,412.55,3.84,12.5,0.048,1.344,0.5374,200,3.19,19.7,0.063,0.309
730,20210929,59485.81246,412.55,3.8,260.03,0.989,27.68,11.07,400,3.35,342.12,1.145,11.26
731,20210929,59485.81259,412.55,5.58,153.88,0.859,24.04,9.618,300,5.14,320.25,1.648,12.15
732,20210929,59485.81263,412.55,3.9,29.74,0.116,3.247,1.299,150,4.88,71.05,0.346,1.277
733,20210929,59485.81268,412.55,5.52,10.69,0.059,1.651,0.6606,50,4.1,79.98,0.328,0.4031
734,20210929,59485.8128,412.55,2.16,20.79,0.045,1.26,0.5038,250,1.75,47.24,0.083,0.5094
735,20210929,59485.81287,412.55,5.59,35.26,0.197,5.514,2.206,200,5.44,86.88,0.473,2.324
736,20210929,59485.81289,412.55,11.15,299.79,3.344,93.6,37.44,450,7.71,416.84,3.212,35.53
737,20210929,59485.81291,412.55,5.2,17.32,0.09,2.519,1.008,200,5.63,31.08,0.175,0.8599
738,20210929,59485.81298,412.55,8.35,143.05,1.195,33.45,13.38,350,7.87,207.29,1.632,14.04
739,20210929,59485.81298,412.55,4.42,61.12,0.27,7.557,3.023,350,3.89,91,0.354,3.049
740,20210929,59485.81298,412.55,4.67,90.43,0.422,11.81,4.725,250,4.28,193.75,0.83,5.1
741,20210929,59485.81313,412.55,4.97,16.29,0.081,2.267,0.9069,200,3.02,40.46,0.122,0.6001
742,20210929,59485.81322,412.55,5.84,16.45,0.096,2.687,1.075,350,5.27,23.66,0.125,1.074
743,20210929,59485.81325,412.55,1.17,59.68,0.07,1.959,0.7837,200,1.53,100.29,0.154,0.7569
744,20210929,59485.81326,412.55,8.78,101.24,0.889,24.88,9.953,400,8.19,133.99,1.097,10.79
745,20210929,59485.81337,412.55,3.35,42.1,0.141,3.947,1.579,200,3.27,99.65,0.326,1.603
746,20210929,59485.81342,412.55,3.56,65.48,0.233,6.522,2.609,400,3.27,75.65,0.248,2.436
747,20210929,59485.81349,412.55,5.48,57.67,0.316,8.845,3.538,400,4.95,74.65,0.37,3.636
748,20210929,59485.81355,412.55,4.57,67.66,0.309,8.649,3.46,400,3.75,84.49,0.316,3.112
749,20210929,59485.81365,412.55,4.09,32.03,0.131,3.667,1.467,150,4.28,79.79,0.342,1.26
750,20210929,59485.81372,412.55,6.96,109.16,0.76,21.27,8.509,250,7.26,194.52,1.413,8.684
751,20210929,59485.81373,412.55,9.78,339.25,3.318,92.87,37.15,350,9.22,555.91,5.123,44.08
752,20210929,59485.81376,412.55,1.95,12.81,0.025,0.6998,0.2799,150,1.77,28.8,0.051,0.1881
753,20210929,59485.81376,412.55,6.74,290.57,1.959,54.83,21.93,500,6.35,290.6,1.847,22.7
754,20210929,59485.81376,412.55,14.79,127.52,1.886,52.79,21.12,400,13.29,172.82,2.296,22.58
755,20210929,59485.81385,412.55,2.63,27.72,0.073,2.043,0.8173,300,2.36,45.94,0.108,0.7994
756,20210929,59485.81385,412.55,4.04,535.83,2.165,60.6,24.24,500,3.68,535.8,1.972,24.24
757,20210929,59485.81386,412.55,5.94,186.1,1.105,30.93,12.37,500,5.86,186,1.09,13.4
758,20210929,59485.81402,412.55,3.67,243.26,0.893,25,9.998,400,3.42,301.12,1.031,10.14
759,20210929,59485.81402,412.55,2.84,10.2,0.029,0.8117,0.3247,200,2.09,30.98,0.065,0.318
760,20210929,59485.81402,412.55,4.55,11.87,0.054,1.511,0.6046,150,3.09,29.76,0.092,0.3392
761,20210929,59485.81412,412.55,3.69,27.64,0.102,2.855,1.142,400,3.28,31.9,0.105,1.03
762,20210929,59485.81419,412.55,8.78,136.11,1.195,33.45,13.38,500,7.98,136.14,1.087,13.36
763,20210929,59485.81419,412.55,9.57,21.84,0.209,5.85,2.34,150,8.97,60.82,0.546,2.012
764,20210929,59485.81436,412.55,6.72,182.75,1.228,34.37,13.75,450,6.04,202.14,1.22,13.5
765,20210929,59485.81459,412.55,4.44,328.18,1.457,40.78,16.31,300,4.11,551.69,2.265,16.71
766,20210929,59485.81459,412.55,2.85,18.93,0.054,1.511,0.6046,150,2.51,55.25,0.138,0.5105
767,20210929,59485.81461,412.55,6.54,238.7,1.561,43.69,17.48,300,6.02,524,3.155,23.27
768,20210929,59485.81461,412.55,8.53,32.46,0.277,7.753,3.101,250,8.49,76.53,0.649,3.991
769,20210929,59485.81499,412.55,6.65,34.6,0.23,6.438,2.575,450,5.93,35.48,0.21,2.328
770,20210929,59485.81504,412.55,2.39,22.21,0.053,1.483,0.5934,200,1.92,55.89,0.107,0.5284
771,20210929,59485.81517,412.55,4.54,535.28,2.43,68.02,27.21,500,4.13,535.35,2.213,27.21
772,20210929,59485.81533,412.55,4.03,16.87,0.068,1.903,0.7613,100,3.81,58.29,0.222,0.5464
773,20210929,59485.81546,412.55,4.78,15.47,0.074,2.071,0.8285,150,3.41,46.5,0.158,0.5844
774,20210929,59485.81554,412.55,6.77,127.71,0.865,24.21,9.685,300,6.27,268.39,1.682,12.41
775,20210929,59485.81555,412.55,4.37,287.95,1.258,35.21,14.08,500,3.95,287.91,1.138,14
776,20210929,59485.8157,412.55,8.22,547.7,4.503,126,50.42,500,7.21,547.69,3.95,48.56
777,20210929,59485.81573,412.55,2.55,7.45,0.019,0.5318,0.2127,50,5.01,37.1,0.186,0.2284
778,20210929,59485.81594,412.55,4.03,73.49,0.296,8.285,3.314,400,3.55,92.74,0.329,3.233
779,20210929,59485.81597,412.55,3.23,18.89,0.061,1.707,0.683,300,3.22,29.46,0.095,0.6986
780,20210929,59485.81597,412.55,2.9,10.7,0.031,0.8677,0.3471,150,2.98,33.04,0.098,0.3628
781,20210929,59485.81599,412.55,2.73,120.17,0.328,9.181,3.672,450,2.51,133.85,0.336,3.718
782,20210929,59485.81599,412.55,1.71,18.16,0.031,0.8677,0.3471,200,1.52,35.38,0.054,0.2642
783,20210929,59485.81631,412.55,4.13,11.39,0.047,1.316,0.5262,100,2.8,48.55,0.136,0.3336
784,20210929,59485.81643,412.55,3,17.64,0.053,1.483,0.5934,350,2.83,23.79,0.067,0.58
785,20210929,59485.81663,412.55,7.13,122.5,0.873,24.44,9.774,400,6.4,167.31,1.07,10.52
786,20210929,59485.81673,412.55,4.11,55.75,0.229,6.41,2.564,200,3.76,143.34,0.538,2.647
787,20210929,59485.81677,412.55,3.79,425.39,1.612,45.12,18.05,400,3.42,533.59,1.822,17.92
788,20210929,59485.81772,412.55,6.21,99.02,0.615,17.21,6.886,450,5.73,109.53,0.628,6.943
789,20210929,59485.81772,412.55,2.42,12.81,0.031,0.8677,0.3471,100,3.4,37.49,0.128,0.3135
790,20210929,59485.8178,412.55,12.51,16.22,0.203,5.682,2.273,150,10.2,48.59,0.495,1.827
791,20210929,59485.8178,412.55,9.3,75.68,0.704,19.7,7.882,200,9.71,177.84,1.727,8.491
792,20210929,59485.81808,412.55,9.54,149.68,1.428,39.97,15.99,400,8.96,198.73,1.781,17.52
793,20210929,59485.81809,412.55,24,78.95,1.895,53.04,21.22,500,12.58,132.9,1.672,20.55
794,20210929,59485.81813,412.55,5.96,34.57,0.206,5.766,2.306,150,6.1,85.98,0.525,1.935
795,20210929,59485.8182,412.55,2.64,16.29,0.043,1.204,0.4814,150,2.62,49.38,0.129,0.477
796,20210929,59485.81831,412.55,10.91,52.44,0.572,16.01,6.404,300,9.09,96.85,0.88,6.494
797,20210929,59485.81878,412.55,7.83,35.36,0.277,7.753,3.101,200,7.55,84.47,0.638,3.135
798,20210929,59485.8189,412.55,9.95,19.99,0.199,5.57,2.228,150,9.91,52.19,0.517,1.908
799,20210929,59485.8189,412.55,2.31,11.71,0.027,0.7557,0.3023,50,2.82,62.36,0.176,0.2161
800,20210929,59485.8189,412.55,3.75,12.55,0.047,1.316,0.5262,50,3.93,82.5,0.324,0.3986
801,20210929,59485.81891,412.55,3.1,27.07,0.084,2.351,0.9405,200,3.42,65.06,0.222,1.093
802,20210929,59485.81891,412.55,1.18,12.67,0.015,0.4198,0.1679,150,1.7,33.7,0.057,0.2116
803,20210929,59485.81891,412.55,7.75,88.16,0.683,19.12,7.647,250,5.93,210.46,1.248,7.673
804,20210929,59485.81891,412.55,8.08,18.68,0.151,4.226,1.691,50,9.42,173.75,1.637,2.012
805,20210929,59485.81941,412.55,4.04,18.8,0.076,2.127,0.8509,100,5,65.21,0.326,0.8016
806,20210929,59485.81961,412.55,2.17,96.75,0.21,5.878,2.351,200,2.03,249.26,0.506,2.49
807,20210929,59485.81961,412.55,9.87,231.46,2.284,63.93,25.57,400,9,273.08,2.457,24.16
808,20210929,59485.81961,412.55,4.18,183.32,0.766,21.44,8.576,200,3.85,457.84,1.764,8.675
809,20210929,59485.81973,412.55,6.45,29.78,0.192,5.374,2.15,200,6.8,68.06,0.463,2.275
810,20210929,59485.81973,412.55,5.98,23.26,0.139,3.891,1.556,200,5.08,52.13,0.265,1.303
811,20210929,59485.8198,412.55,11.37,82.59,0.939,26.28,10.51,450,5.75,166.23,0.955,10.56
812,20210929,59485.8198,412.55,10.29,250.32,2.576,72.1,28.84,400,9.35,345.23,3.229,31.75
813,20210929,59485.81991,412.55,12.67,262.42,3.324,93.04,37.22,500,11.09,262.18,2.908,35.74
814,20210929,59485.81995,412.55,3.41,85.89,0.293,8.201,3.28,250,2.93,150.64,0.442,2.715
815,20210929,59485.81995,412.55,12.28,133.18,1.635,45.76,18.3,500,5.96,284.88,1.698,20.88
816,20210929,59485.81995,412.55,8.09,16.57,0.134,3.751,1.5,100,7.56,67.5,0.51,1.254
817,20210929,59485.81997,412.55,5.15,337.01,1.735,48.56,19.42,500,4.64,337.08,1.565,19.24
818,20210929,59485.81997,412.55,6.78,69.27,0.47,13.16,5.262,450,6.13,76.47,0.469,5.185
819,20210929,59485.81998,412.55,6.84,226.52,1.549,43.36,17.34,450,6.2,249.28,1.546,17.1
820,20210929,59485.82021,412.55,6.06,131.53,0.797,22.31,8.923,450,5.44,140.65,0.765,8.464
821,20210929,59485.82021,412.55,5.92,70.41,0.417,11.67,4.669,250,5.16,161.4,0.832,5.114
822,20210929,59485.82023,412.55,4.42,21.25,0.094,2.631,1.052,200,3.62,32.67,0.118,0.5822
823,20210929,59485.82033,412.55,4.5,366.54,1.651,46.21,18.48,500,3.91,366.51,1.432,17.6
824,20210929,59485.82044,412.55,5.24,154.76,0.811,22.7,9.08,450,4.79,165.61,0.793,8.777
825,20210929,59485.82058,412.55,4.27,15.7,0.067,1.875,0.7501,200,3.6,35.14,0.127,0.6225
826,20210929,59485.82061,412.55,2.98,10.74,0.032,0.8957,0.3583,150,3.1,20.88,0.065,0.2385
827,20210929,59485.8207,412.55,2.67,21.37,0.057,1.595,0.6382,100,2.46,61,0.15,0.3695
828,20210929,59485.82074,412.55,3.23,14.56,0.047,1.316,0.5262,150,2.44,48.23,0.117,0.4333
829,20210929,59485.82088,412.55,5.69,116.82,0.665,18.61,7.445,300,5.04,249.43,1.256,9.264
830,20210929,59485.82093,412.55,5.63,12.44,0.07,1.959,0.7837,150,5.42,30.59,0.166,0.6113
831,20210929,59485.82093,412.55,13.09,144.86,1.896,53.07,21.23,500,12.53,144.87,1.815,22.31
832,20210929,59485.82095,412.55,4.13,20.32,0.084,2.351,0.9405,200,3.56,49.69,0.177,0.8688
833,20210929,59485.82095,412.55,5.36,33.01,0.177,4.954,1.982,200,4.66,63.93,0.298,1.464
834,20210929,59485.82096,412.55,4.45,80.3,0.357,9.992,3.997,200,4.12,207.31,0.853,4.196
835,20210929,59485.821,412.55,5.96,70.52,0.42,11.76,4.702,200,5.37,187.59,1.006,4.949
836,20210929,59485.82105,412.55,4.14,13.77,0.057,1.595,0.6382,250,4.29,26.35,0.113,0.6942
837,20210929,59485.82112,412.55,3.5,30.57,0.107,2.995,1.198,200,3.15,49.7,0.157,0.7703
838,20210929,59485.82112,412.55,3.19,40.14,0.128,3.583,1.433,250,3.41,86.53,0.295,1.814
839,20210929,59485.82118,412.55,7.21,86.95,0.627,17.55,7.02,300,6.57,138.1,0.907,6.691
840,20210929,59485.82118,412.55,3.73,295.16,1.101,30.82,12.33,300,3.43,646.17,2.213,16.32
841,20210929,59485.82121,412.55,4.29,11.19,0.048,1.344,0.5374,100,4.99,26.09,0.13,0.3202
842,20210929,59485.82121,412.55,6.46,82.77,0.535,14.97,5.99,450,3.62,142.88,0.517,5.72
843,20210929,59485.82159,412.55,3.39,20.97,0.071,1.987,0.7949,300,3.31,40.47,0.134,0.9875
844,20210929,59485.82176,412.55,7.9,23.28,0.184,5.15,2.06,300,8.97,40.01,0.359,2.647
845,20210929,59485.82176,412.55,5.86,275.31,1.614,45.18,18.07,500,4.3,344.2,1.48,18.19
846,20210929,59485.82176,412.55,3.67,78.24,0.287,8.033,3.213,250,3.42,171.19,0.585,3.594
847,20210929,59485.82179,412.55,3.47,12.98,0.045,1.26,0.5038,100,3.38,37.99,0.128,0.3157
848,20210929,59485.8218,412.55,8.73,56.37,0.492,13.77,5.508,400,8.15,73.99,0.603,5.929
849,20210929,59485.82181,412.55,4.73,296.55,1.403,39.27,15.71,500,4.26,296.5,1.264,15.54
850,20210929,59485.82183,412.55,5.24,201.47,1.055,29.53,11.81,200,4.61,521.2,2.403,11.81
851,20210929,59485.82183,412.55,3.14,9.57,0.03,0.8397,0.3359,50,4.52,119.2,0.539,0.6628
852,20210929,59485.82185,412.55,2.93,108.73,0.319,8.929,3.572,200,2.77,270.64,0.75,3.686
853,20210929,59485.82218,412.55,6.51,47.34,0.308,8.621,3.448,350,3.83,83.12,0.319,2.742
854,20210929,59485.82218,412.55,5.73,123.82,0.709,19.84,7.938,350,5.11,213.6,1.091,9.389
855,20210929,59485.8224,412.55,10.32,182.84,1.887,52.82,21.13,350,7.18,386.15,2.772,23.85
856,20210929,59485.82243,412.55,4.39,33.46,0.147,4.114,1.646,500,3.99,33.34,0.133,1.635
857,20210929,59485.82243,412.55,4.43,431.47,1.911,53.49,21.4,350,3.87,725.95,2.806,24.15
858,20210929,59485.82243,412.55,5.56,32.02,0.178,4.982,1.993,150,5.6,82.49,0.462,1.703
859,20210929,59485.82256,412.55,5.73,56.73,0.325,9.097,3.639,350,4.97,87.72,0.436,3.754
860,20210929,59485.82258,412.55,3.45,22.34,0.077,2.155,0.8621,250,2.68,47.2,0.127,0.7781
861,20210929,59485.82259,412.55,6.9,97.44,0.672,18.81,7.524,250,6.23,229.36,1.429,8.783
862,20210929,59485.82265,412.55,4.29,112.65,0.483,13.52,5.408,300,3.84,253.12,0.973,7.174
863,20210929,59485.82265,412.55,3.14,12.72,0.04,1.12,0.4478,200,3.46,28.99,0.1,0.4926
864,20210929,59485.82265,412.55,9.24,58.25,0.538,15.06,6.024,200,8.75,147.25,1.288,6.332
865,20210929,59485.82268,412.55,8.33,103.3,0.86,24.07,9.629,350,7.61,172.37,1.312,11.29
866,20210929,59485.82269,412.55,2.47,40.56,0.1,2.799,1.12,400,2.28,47.9,0.109,1.075
867,20210929,59485.82276,412.55,5.01,31.51,0.158,4.422,1.769,250,4.16,72.25,0.301,1.847
868,20210929,59485.82285,412.55,2.8,33.17,0.093,2.603,1.041,200,2.44,86.16,0.21,1.034
869,20210929,59485.8229,412.55,7.99,106.45,0.851,23.82,9.528,400,6.6,135.02,0.891,8.76
870,20210929,59485.8229,412.55,2.25,19.59,0.044,1.232,0.4926,200,2.45,51.99,0.128,0.627
871,20210929,59485.82308,412.55,1.36,97.5,0.133,3.723,1.489,200,1.62,171.19,0.278,1.366
872,20210929,59485.82326,412.55,4.31,232.67,1.002,28.05,11.22,300,3.87,378.83,1.465,10.81
873,20210929,59485.82333,412.55,5.29,20.43,0.108,3.023,1.209,250,4.93,43.94,0.217,1.332
874,20210929,59485.82333,412.55,2.64,15.9,0.042,1.176,0.4702,200,3.58,38.15,0.137,0.6718
875,20210929,59485.82367,412.55,6.66,46.52,0.31,8.677,3.471,300,7.46,73.59,0.549,4.051
876,20210929,59485.82367,412.55,4.27,231.07,0.987,27.63,11.05,300,3.88,508.78,1.974,14.56
877,20210929,59485.82367,412.55,2.75,7.65,0.021,0.5878,0.2351,100,1.94,24.94,0.048,0.1187
878,20210929,59485.82374,412.55,3.7,410.28,1.516,42.43,16.97,300,3.31,907.52,3.005,22.17
879,20210929,59485.82377,412.55,10.57,243.73,2.576,72.1,28.84,450,7.4,370.83,2.743,30.35
880,20210929,59485.82381,412.55,4.77,155.54,0.742,20.77,8.308,400,4.39,192.41,0.844,8.303
881,20210929,59485.82393,412.55,2.89,14.52,0.042,1.176,0.4702,50,3.15,37.59,0.118,0.1456
