BurstID,ObsDate,MJD,DM,Width,PeakFlux,Fluence,Energy_c,Energy_w,BandWidth,Width,PeakFlux,Fluence,Energy_w
 , ,Barycentric, ,FullBand,FullBand,FullBand,FullBand,FullBand, ,LimitedBand,LimitedBand,LimitedBand,LimitedBand
 , , ,(pc/cm^3),(ms),(mJy),(Jy ms),(1e37erg),(1e37erg),(MHz),(ms),(mJy),(Jy ms),(1e37erg)
88,20210927,59483.89464,412.18,5.73,12.56,0.072,2.015,0.8061,150,2.25,32.38,0.073,0.2687
89,20210927,59483.89508,412.18,2.84,9.49,0.027,0.7557,0.3023,250,3.58,10.68,0.038,0.2351
90,20210927,59483.89566,412.18,4.9,279.21,1.368,38.29,15.32,500,4.44,279.13,1.24,15.25
91,20210927,59483.8957,412.18,4.55,23.06,0.105,2.939,1.176,100,3.47,97.56,0.339,0.833
92,20210927,59483.89588,412.18,5.06,22.54,0.114,3.191,1.276,150,4.85,57.24,0.278,1.024
93,20210927,59483.89604,412.18,2.71,14.05,0.038,1.064,0.4254,200,2.71,31.27,0.085,0.4165
94,20210927,59483.89627,412.18,8.68,30.19,0.262,7.333,2.933,150,8.12,75.13,0.61,2.25
95,20210927,59483.89663,412.18,5.31,10.36,0.055,1.539,0.6158,100,5.28,34.47,0.182,0.4478
96,20210927,59483.89676,412.18,4.79,9.18,0.044,1.232,0.4926,250,5.03,16.87,0.085,0.5217
97,20210927,59483.89767,412.18,4.7,10.86,0.051,1.428,0.571,200,4.16,23.87,0.099,0.4882
98,20210927,59483.89824,412.18,4.04,52.54,0.212,5.934,2.374,300,3.58,84.11,0.301,2.224
99,20210927,59483.8988,412.18,3.7,10.54,0.039,1.092,0.4366,200,2.35,29.48,0.069,0.3404
100,20210927,59483.8993,412.18,4.73,20.74,0.098,2.743,1.097,250,5.01,43.27,0.217,1.332
101,20210927,59483.89954,412.18,5.23,10.71,0.056,1.567,0.627,100,5.53,29.98,0.166,0.4075
102,20210927,59483.90142,412.18,14.94,159.46,2.382,66.67,26.67,300,11.52,507.65,5.851,43.15
103,20210927,59483.90157,412.18,1.94,6.19,0.012,0.3359,0.1344,50,4.51,36.35,0.164,0.2015
104,20210927,59483.90202,412.18,6.29,10.01,0.063,1.763,0.7054,100,8.52,25.97,0.221,0.5441
105,20210927,59483.90235,412.18,7.2,177.62,1.279,35.8,14.32,350,6.58,314.84,2.07,17.81
